titre,note
Douze Hommes en colère (1957),N/A
Harakiri (1962),N/A
"Le Bon, la Brute et le Truand (1966)",N/A
Blade Runner : The Final Cut (2007),N/A
Il était une fois dans l'Ouest (1968),N/A
Les Sept Samouraïs (1954),N/A
Barberousse (1965),N/A
Le Parrain (1972),N/A
Il était une fois en Amérique (1984),N/A
Le Trou (1960),N/A
Le Voyage de Chihiro (2001),N/A
Point limite (1964),N/A
Princesse Mononoké (1997),N/A
L'Aurore (1927),N/A
Sherlock Junior (1924),N/A
